node,name,type,degree,in_degree,out_degree,degree_centrality,betweenness_centrality,pagerank,eigenvector_centrality,closeness_centrality
ampk,ampk,Protein,1,0,1,0.01099,0.0,0.004654,0.01083,0.12912
car-t,car-t,Protein,1,0,1,0.01099,0.0,0.004654,0.0,0.06633
chimeric antigen receptor,chimeric antigen receptor,Protein,1,0,1,0.01099,0.0,0.004654,0.0,0.06633
acetaminophen,acetaminophen,Drug,6,0,6,0.06593,0.00156,0.004654,0.23168,0.17095
furosemide,furosemide,Drug,1,0,1,0.01099,0.0,0.004654,0.05982,0.15661
aspirin,aspirin,Drug,5,0,5,0.05495,0.00021,0.004654,0.20666,0.16741
insulin regular,insulin regular,Drug,3,0,3,0.03297,0.0,0.004654,0.15373,0.16513
metoprolol,metoprolol,Drug,5,0,5,0.05495,0.00252,0.004654,0.19719,0.16741
heparin,heparin,Drug,4,0,4,0.04396,0.0,0.004654,0.18264,0.16513
psen1,psen1,Gene,1,0,1,0.01099,0.0,0.004654,0.0,0.08624
parkinson's disease,parkinson's disease,Disease,0,0,0,0.0,0.0,0.004654,0.0,0.0
apoe,apoe,Gene,1,0,1,0.01099,0.0,0.004654,0.0,0.08624
tp53,tp53,Gene,3,0,3,0.03297,0.08933,0.004654,0.0264,0.18673
norepinephrine,norepinephrine,Drug,4,0,4,0.04396,0.00139,0.004654,0.15569,0.16975
vancomycin,vancomycin,Drug,4,0,4,0.04396,0.00132,0.004654,0.16035,0.16741
braf,braf,Gene,1,0,1,0.01099,0.0,0.004654,0.02224,0.15661
egfr,egfr,Gene,1,0,1,0.01099,0.0,0.004654,0.02224,0.15661
cd19,cd19,Gene,1,0,1,0.01099,0.0,0.004654,0.0,0.05159
trem2,trem2,Gene,1,0,1,0.01099,0.0,0.004654,0.0,0.08624
bcma,bcma,Gene,1,0,1,0.01099,0.0,0.004654,0.0,0.04887
il6,il6,Gene,1,0,1,0.01099,0.0,0.004654,0.02478,0.12513
tnf,tnf,Gene,1,0,1,0.01099,0.0,0.004654,0.02478,0.12513
olaparib,olaparib,Drug,3,0,3,0.03297,0.0,0.004654,0.00082,0.1226
nivolumab,nivolumab,Drug,1,0,1,0.01099,0.0,0.004654,0.02224,0.15661
trastuzumab,trastuzumab,Drug,2,0,2,0.02198,0.0,0.004654,0.00069,0.12198
rituximab,rituximab,Drug,2,0,2,0.02198,0.00011,0.004654,0.0,0.05462
imatinib,imatinib,Drug,2,0,2,0.02198,0.0,0.004654,0.02579,0.15763
tau protein,tau protein,Protein,1,0,1,0.01099,0.0,0.004654,0.0,0.08624
pd-1,pd-1,Protein,0,0,0,0.0,0.0,0.004654,0.0,0.0
pd-l1,pd-l1,Protein,0,0,0,0.0,0.0,0.004654,0.0,0.0
c-reactive protein,c-reactive protein,Protein,1,0,1,0.01099,0.0,0.004654,0.02478,0.12513
